copied_file	source_file	graphics_elements	aspect_ratio	score
anthropics-copy-icon.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/beam/website/www/site/static/images/copy-icon.svg	2	1.0556	8
anthropics-info-icon.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/beam/website/www/site/static/images/info_icon.svg	2	1.0	8
anthropics-github-icon.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/beam/website/www/site/static/images/github-icon.svg	2	1.0	8
anthropics-run-icon.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/beam/website/www/site/static/images/run-icon.svg	1	0.9375	8
anthropics-close-quote.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/beam/website/www/site/static/images/close-quote.svg	1	1.2432	5
anthropics-open-quote.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/beam/website/www/site/static/images/open-quote.svg	1	1.2432	5
anthropics-arrow-right.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/beam/website/www/site/static/images/arrow-right.svg	1	1.0455	5
anthropics-arrow-icon-list.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/beam/website/www/site/static/images/arrow-icon_list.svg	1	1.1053	8
anthropics-model-sources-icon.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/beam/website/www/site/static/images/model-sources-icon.svg	4	0.7708	8
anthropics-add.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/beam/website/www/site/static/images/add.svg	3	1.0	5
anthropics-model-processing-icon.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/beam/website/www/site/static/images/model-processing-icon.svg	18	0.7547	8
anthropics-model-sinks-icon.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/beam/website/www/site/static/images/model-sinks-icon.svg	2	0.7083	8
anthropics-code-icon.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/beam/website/www/site/static/images/code-icon.svg	1	1.3571	8
anthropics-arrow-expandable.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/beam/website/www/site/static/images/arrow-expandable.svg	1	1.375	5
anthropics-beam-logo-circle.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/beam/website/www/site/static/images/beam_logo_circle.svg	12	1.0	8
anthropics-beam-logo-icon.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/beam/website/www/site/static/images/community/beam-logo-icon.svg	15	0.9912	8
anthropics-diamond-icon.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/beam/website/www/site/static/images/community/diamond-icon.svg	14	0.9912	8
anthropics-messages-icon.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/beam/website/www/site/static/images/community/messages-icon.svg	7	0.9912	8
anthropics-beam-logo-3-color-nameless.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/beam/website/www/site/static/images/logos/3-color/nameless/beam-logo-3-color-nameless.svg	11	0.7184	8
anthropics-beam-logo-3-color-name-bottom.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/beam/website/www/site/static/images/logos/3-color/name-bottom/beam-logo-3-color-name-bottom.svg	15	0.8796	8
anthropics-beam-logo-3-color-name-right.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/beam/website/www/site/static/images/logos/3-color/name-right/beam-logo-3-color-name-right.svg	15	2.8254	6
anthropics-beam-logo-bw-nameless.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/beam/website/www/site/static/images/logos/bw/nameless/beam-logo-bw-nameless.svg	8	0.7175	8
anthropics-beam-logo-bw-name-bottom.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/beam/website/www/site/static/images/logos/bw/name-bottom/beam-logo-bw-name-bottom.svg	12	0.8798	8
anthropics-beam-logo-bw-name-right.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/beam/website/www/site/static/images/logos/bw/name-right/beam-logo-bw-name-right.svg	12	2.8185	6
anthropics-cronjob.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/cronjob.svg	2	1.0058	5
anthropics-user.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/user.svg	1	1.0445	5
anthropics-role.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/role.svg	4	1.1406	5
anthropics-rb.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/rb.svg	2	1.1406	5
anthropics-netpol.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/netpol.svg	1	1.0304	5
anthropics-sc.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/sc.svg	9	1.0479	5
anthropics-sa.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/sa.svg	1	0.8181	5
anthropics-rs.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/rs.svg	4	1.2769	5
anthropics-deploy.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/deploy.svg	2	1.146	5
anthropics-sts.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/sts.svg	7	1.2769	5
anthropics-group.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/group.svg	1	1.0443	5
anthropics-cm.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/cm.svg	3	1.1673	5
anthropics-psp.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/psp.svg	2	0.9754	5
anthropics-ns.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/ns.svg	1	1.1388	5
anthropics-crd.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/crd.svg	1	1.0	5
anthropics-svc.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/svc.svg	3	1.34	5
anthropics-job.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/job.svg	1	1.0155	5
anthropics-secret.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/secret.svg	5	1.1673	5
anthropics-ds.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/ds.svg	5	1.1405	5
anthropics-pod.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/pod.svg	1	1.0095	5
anthropics-c-role.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/c-role.svg	3	0.8248	5
anthropics-quota.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/quota.svg	2	0.9091	5
anthropics-limits.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/limits.svg	2	1.2791	5
anthropics-ing.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/ing.svg	1	1.0355	5
anthropics-ep.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/ep.svg	7	1.34	5
anthropics-node.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/infrastructure_components/node.svg	3	1.0306	5
anthropics-icon.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/kubevirt.io/icon.svg	2	1.0344	8
anthropics-icon-c9e36e81.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/_.fluxcd.io/icon.svg	4	0.7212	8
anthropics-icon-22a5e596.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/jaegertracing.io/icon.svg	16	0.8783	8
anthropics-icon-639101df.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/projectcontour.io/icon.svg	6	1.0	8
anthropics-icon-b51865c1.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/opentelemetry.io/icon.svg	1	1.0	8
anthropics-icon-9b92e531.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/k8s.keycloak.org/icon.svg	1	1.1093	8
anthropics-icon-9707a235.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/kafka.strimzi.io/icon.svg	1	0.8717	8
anthropics-icon-9a4aa1ac.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/_.crossplane.io/icon.svg	4	1.0	8
anthropics-icon-a7700ccd.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/flagger.app/icon.svg	18	1.0	8
anthropics-icon-72bf6f1d.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/keda.sh/icon.svg	11	1.0	8
anthropics-icon-1b5bcaa3.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/cassandra.rook.io/icon.svg	2	0.8364	8
anthropics-icon-7927e9ed.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/_.knative.dev/icon.svg	4	1.2384	8
anthropics-icon-bbc6dc1d.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/install.istio.io/icon.svg	1	0.7573	8
anthropics-icon-d379e472.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/core.spinkube.dev/icon.svg	1	1.0	8
anthropics-icon-4217df80.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/work.karmada.io/icon.svg	24	1.2704	8
anthropics-icon-4d3b3a2a.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/external-secrets.io/icon.svg	18	1.0	8
anthropics-icon-1347c2e6.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/kyverno.io/icon.svg	7	1.0	8
anthropics-icon-09ed4e88.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/zookeeper.pravega.io/icon.svg	4	1.0	8
anthropics-icon-3bfb06fc.svg	/Users/bear/Documents/CoWork/bear-textbooks/books/anthropics/argo-cd/ui/src/assets/images/resources/cert-manager.io/icon.svg	16	1.0	8
