post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
198080493.the-math-of-being-afraid-together,2026-05-17T04:01:51.683Z,true,2026-05-17T04:01:51.803Z,2026-05-17T04:01:51.803Z,newsletter,everyone,The Math of Being Afraid Together,Horror was built on isolation. So why does a genre that puts friends in the room with you sell tens of millions of copies? The answer is a chain of facts — and it starts with your bloodstream.,
194208848.solo-dev-vs-the-engine,2026-04-14T17:33:46.031Z,true,2026-04-14T17:33:46.158Z,2026-04-14T17:33:46.158Z,newsletter,everyone,Solo Dev vs. The Engine,"The decision isn't about software. It's a years-long commitment that determines whether your game ships, how fast, at what cost, and whether you actually own what you built when you're done",
193268293.the-fear-engineers,2026-04-05T17:07:01.584Z,true,2026-04-05T17:07:01.701Z,2026-04-05T17:07:01.701Z,newsletter,everyone,THE FEAR ENGINEERS,How Three Decades of Horror Game Design Became a Science of Controlled Terror,
192658290.8000-languages-and-counting-why-programming,2026-03-30T23:21:08.525Z,true,2026-03-30T23:21:08.695Z,2026-03-30T23:21:08.695Z,newsletter,everyone,"8,000 Languages and Counting: Why Programming Never Stops Inventing Itself",,
191702625.nintendos-family-friendly-platform,2026-03-23T17:58:20.661Z,true,2026-03-23T17:58:20.751Z,2026-03-23T17:58:20.751Z,newsletter,everyone,Nintendo’s Family-Friendly Platform Strategy,,
191619830.the-architecture-of-prosperity,2026-03-20T20:16:35.429Z,true,2026-03-20T20:16:35.498Z,2026-03-20T20:16:35.498Z,newsletter,everyone,The Architecture of Prosperity,A Comprehensive Analysis of the Popularity and Evolutionary Dynamics of Tycoon Games,
191441692.zelda,2026-03-19T04:07:01.640Z,true,2026-03-19T04:07:01.757Z,2026-03-19T04:07:01.757Z,newsletter,everyone,Zelda,Game Design Document Expert Consultant,
191383963.operation-detonation,2026-03-18T16:22:26.229Z,true,2026-03-18T16:22:26.315Z,2026-03-18T16:22:26.315Z,newsletter,everyone,OPERATION DETONATION,A cooperative destruction-focused squad shooter where the spectacle IS the design,
191159048.the-loop-is-the-argument,2026-03-16T18:07:25.632Z,true,2026-03-16T18:07:25.742Z,2026-03-16T18:07:25.742Z,newsletter,everyone,The Loop Is the Argument,"Why Halo, Destiny, and Helldivers Keep You Coming Back",
190558274.the-infinity-loop,2026-03-10T22:00:13.219Z,true,2026-03-10T22:00:13.309Z,2026-03-10T22:00:13.309Z,newsletter,everyone,The Infinity Loop,Why mods are the best business decision a game studio never made — and the data that proves it.,
190473096.arthur-morgan-doesnt-save-himself,2026-03-10T05:30:02.832Z,true,2026-03-10T05:30:02.925Z,2026-03-10T05:30:02.925Z,newsletter,everyone,Arthur Morgan Doesn't Save Himself. That's the Point.,Why Rockstar's dying outlaw remains the greatest character arc video games have ever produced — and where the argument gets genuinely hard to defend.,
190223190.the-voice-before-the-music-why-songs,2026-03-07T19:54:48.520Z,true,2026-03-07T19:54:48.612Z,2026-03-07T19:54:48.612Z,podcast,everyone,The Voice Before the Music: Why Songs That Start Talking Stay With You,A Literary Review Essay on Spoken-Word Intros Across Six Decades of Popular Music,
190134486.how-music-mutates-a-logical-history,2026-03-06T21:11:02.951Z,true,2026-03-06T21:11:03.052Z,2026-03-06T21:11:03.052Z,podcast,everyone,How Music Mutates: A Logical History of Genre,narteach,
190057675.bf6,,false,,,newsletter,everyone,,,
190039184.how-to-animate-a-character-who-feels,2026-03-05T21:08:15.223Z,true,2026-03-05T21:08:15.372Z,2026-03-05T21:08:15.372Z,newsletter,everyone,How to Animate a Character Who Feels Real,A Logical Progression Through the Craft of Character Animation,
189916693.why-your-character-doesnt-fall-through,2026-03-04T20:30:33.329Z,true,2026-03-04T20:30:33.433Z,2026-03-04T20:30:33.433Z,newsletter,everyone,Why Your Character Doesn't Fall Through the Floor — and Everything Else,"A logical progression from first principles to production pipelines, without shortcuts.",
189839422.ai-driven-game-asset-creation-a-logical,2026-03-04T03:20:13.667Z,true,2026-03-04T03:20:13.760Z,2026-03-04T03:20:13.760Z,newsletter,everyone,AI-Driven Game Asset Creation: A Logical Progression,,
189692056.the-paper-trail-in-the-studio,2026-03-02T19:49:22.874Z,true,2026-03-02T19:49:22.971Z,2026-03-02T19:49:22.971Z,podcast,everyone,The Paper Trail in the Studio,Investigative Narrative Nonfiction — ISE investnon format,
189692047.295,,false,,,newsletter,everyone,,,
189577225.the-copy-paste-gamble,2026-03-01T19:12:52.475Z,true,2026-03-01T19:12:52.548Z,2026-03-01T19:12:52.548Z,newsletter,everyone,THE COPY-PASTE GAMBLE,"What AI Actually Does to Your Unity Project

Investigative Narrative Nonfiction  —  ISE investnon format",
189525855.the-fear-machine,2026-03-01T06:01:46.079Z,true,2026-03-01T06:01:46.159Z,2026-03-01T06:01:46.159Z,newsletter,everyone,THE FEAR MACHINE,How game designers engineer your vulnerability — and why the ethics of doing so are more complicated than the industry admits,
189290376.what-you-cant-see-is-killing-you,2026-02-26T20:16:30.920Z,true,2026-02-26T20:16:31.006Z,2026-02-26T20:16:31.006Z,newsletter,everyone,WHAT YOU CAN'T SEE IS KILLING YOU,"Inside the ruthless engineering of fear in horror video games — and why the sounds you hear matter more than anything on screen.

By ISE — Investigative Narrative Nonfiction
",
189088910.how-light-works-and-why-it-controls,2026-02-25T01:37:56.399Z,true,2026-02-25T01:37:56.488Z,2026-02-25T01:37:56.488Z,newsletter,everyone,How Light Works — And Why It Controls Everything You See,Why Lighting Doesnt Look The Same In Everthing,
188935033.why-realistic-games-hook-players,2026-02-23T18:56:15.853Z,true,2026-02-23T18:56:15.987Z,2026-02-23T18:56:15.987Z,newsletter,everyone,Why Realistic Games Hook Players — and Why Capital Follows,"Tags: game-design, player-psychology, investment-thesis, realism-mechanics, monetization-strategy",
188864399.why-horror-games-work,2026-02-23T04:06:09.496Z,true,2026-02-23T04:06:09.584Z,2026-02-23T04:06:09.584Z,newsletter,everyone,Why Horror Games Work,Teaching Through Logical Progression / Zebonastic / Feb 2025,
188853339.the-infrastructure-of-good-969,2026-02-23T00:58:11.503Z,true,2026-02-23T00:58:11.616Z,2026-02-23T00:58:11.616Z,newsletter,everyone,The Infrastructure of Good,Learning by doing,
188846876.the-ultimate-history-of-video-games,2026-02-22T23:31:11.874Z,true,2026-02-22T23:31:11.972Z,2026-02-22T23:31:11.972Z,newsletter,everyone,The Ultimate History of Video Games — From Pong to Pokemon,The Industry That Declined to Know Itself,
188846405.what-hallow-knights-first-game-doc,2026-02-22T23:24:40.742Z,true,2026-02-22T23:24:40.845Z,2026-02-22T23:24:40.845Z,newsletter,everyone,What Hallow Knight's First Game Doc Might Have Been?,A Reconstructed Game Design Document,
188657306.the-ten-kinds-of-play-why-genre-is,2026-02-20T21:04:18.560Z,true,2026-02-20T21:04:18.666Z,2026-02-20T21:04:18.666Z,newsletter,everyone,The Ten Kinds of Play: Why Genre Is a Lie Your Controller Tells You,"Competitive, Cooperative, Skill-Based, Experience-Based, Chance-Based, Whimsical, Role-Playing, Performative, Expressive, and Simulation-Based — Ten Frameworks for Designing Player Experience, from Ch",
188651427.advanced-game-design-a-systems-approach,,false,,,newsletter,everyone,,,
188650783.algorithms-to-live-by-the-computer,2026-02-20T19:47:09.780Z,true,2026-02-20T19:47:09.895Z,2026-02-20T19:47:09.895Z,newsletter,everyone,Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian & Tom Griffiths (2016),
188650067.pattern-language-for-game-design,,false,,,newsletter,everyone,,,
188648792.advanced-game-design-a-systems-approach,2026-02-20T19:27:23.571Z,true,2026-02-20T19:27:23.716Z,2026-02-20T19:27:23.716Z,newsletter,everyone,Advanced Game Design: A Systems Approach,"Michael Sellers | Pearson/Addison-Wesley, 2018",
188648185.pong,2026-02-20T19:42:20.522Z,true,2026-02-20T19:42:20.691Z,2026-02-20T19:42:20.691Z,newsletter,everyone,Pong,A Game Design Document Speculative reconstruction ,
188647229.games-design-and-play,2026-02-20T19:08:19.726Z,true,2026-02-20T19:08:19.882Z,2026-02-20T19:08:19.882Z,newsletter,everyone,"Games, Design and Play",Macklin & Sharp (2016) | Pearson / Addison-Wesley,
188642872.artificial-intelligence-in-games-c26,2026-02-20T18:28:34.071Z,true,2026-02-20T18:28:34.165Z,2026-02-20T18:28:34.165Z,newsletter,everyone, Artificial Intelligence in Games,Paul Roberts (2023) | CRC Press,
188642553.game-design-theory-a-new-philosophy,2026-02-20T18:21:00.381Z,true,2026-02-20T18:21:00.480Z,2026-02-20T18:21:00.480Z,newsletter,everyone,Game Design Theory: A New Philosophy for Understanding Games,Keith Burgun (2012) | CRC Press / Taylor & Francis,
188641889.the-advanced-game-narrative-toolbox,2026-02-20T19:48:41.216Z,true,2026-02-20T19:48:41.376Z,2026-02-20T19:48:41.376Z,newsletter,everyone,The Advanced Game Narrative Toolbox,"Edited by Tobias Heussner | CRC Press, 2019",
188641379.artificial-intelligence-in-games,2026-02-20T18:11:30.878Z,true,2026-02-20T18:11:30.990Z,2026-02-20T18:11:30.990Z,newsletter,everyone,Artificial Intelligence in Games,.Paul Roberts,
188640853.fundamentals-of-game-design-third,2026-02-20T18:04:32.369Z,true,2026-02-20T18:04:32.538Z,2026-02-20T18:04:32.538Z,newsletter,everyone,"Fundamentals of Game Design, Third Edition",Ernest Adams (2014) | New Riders / Peachpit Press,
188640605.game-design-foundations,2026-02-20T18:01:49.791Z,true,2026-02-20T18:01:49.987Z,2026-02-20T18:01:49.987Z,newsletter,everyone,Game Design Foundations,Roger E. Pedersen (2003) | Wordware Publishing,
188639632.coming-soon,2026-02-20T17:51:17.298Z,true,2026-02-20T17:51:17.298Z,2026-02-20T17:51:17.298Z,newsletter,everyone,Coming soon,,
188639631.how-to-use-the-substack-editor,,false,,,newsletter,everyone,,,
